LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_TERM,ORIG_DATE,FIRST_PAY,OLTV,OCLTV,NUM_BO,DTI,CSCORE_B,CSCORE_C,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,MI_PCT,MI_TYPE,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG
98837242,2020-01-01,C,3.875,537000.0,360,2019-11-01,2020-01-01,95,95,1,49.0,764.0,0.0,N,P,PU,1,P,CO,19740,30.0,1.0,N,N,A,Y,1,0
98837254,2020-01-01,R,3.5,314000.0,360,2019-12-01,2020-02-01,82,82,2,40.0,740.0,793.0,N,R,SF,1,P,VA,47900,12.0,1.0,N,N,W,N,1,0
98837260,2020-01-01,C,4.25,354000.0,360,2019-12-01,2020-02-01,90,90,1,23.0,696.0,0.0,N,R,PU,1,P,CO,0,25.0,1.0,N,N,W,N,1,0
98837262,2020-01-01,R,3.875,290000.0,360,2019-12-01,2020-02-01,85,85,3,39.0,760.0,792.0,Y,P,PU,1,P,CO,24540,12.0,1.0,N,N,A,N,1,0
98837276,2020-01-01,C,3.99,262000.0,360,2019-12-01,2020-02-01,88,88,2,27.0,740.0,725.0,N,R,SF,1,P,MI,19820,25.0,1.0,N,N,A,N,0,0
98837289,2020-01-01,R,4.375,178000.0,360,2020-01-01,2020-03-01,89,89,1,45.0,662.0,0.0,N,P,CO,1,P,MI,19820,25.0,1.0,Y,N,A,N,1,0
98837299,2020-01-01,C,3.625,196000.0,360,2019-11-01,2020-01-01,75,75,1,28.0,763.0,0.0,N,P,SF,1,P,MI,24340,0.0,0.0,N,N,A,N,0,0
98837306,2020-01-01,C,3.999,195000.0,360,2019-12-01,2020-03-01,75,75,1,49.0,714.0,0.0,N,C,SF,1,P,MI,19820,0.0,0.0,N,N,A,N,1,0
98837336,2020-01-01,R,4.25,117000.0,360,2020-01-01,2020-03-01,97,97,1,32.0,741.0,0.0,Y,P,SF,1,P,GA,12060,25.0,1.0,Y,N,A,N,0,0
98837356,2020-01-01,R,3.875,350000.0,360,2019-12-01,2020-03-01,90,90,1,50.0,771.0,0.0,N,R,PU,1,P,OH,17140,25.0,1.0,N,N,A,N,1,0
98837357,2020-01-01,C,3.625,224000.0,360,2019-10-01,2019-12-01,92,92,1,47.0,785.0,0.0,N,R,SF,1,P,GA,12060,25.0,1.0,Y,N,A,N,1,0
98837358,2020-01-01,B,3.75,223000.0,360,2020-01-01,2020-03-01,97,97,1,28.0,728.0,0.0,Y,P,PU,1,P,GA,12060,25.0,1.0,Y,N,A,N,0,0
98837363,2020-01-01,C,4.0,217000.0,360,2019-12-01,2020-02-01,95,95,2,36.0,719.0,704.0,N,R,SF,1,P,OH,19430,30.0,1.0,N,N,A,N,1,0
98837369,2020-01-01,B,3.68,270000.0,300,2019-12-01,2020-02-01,64,64,2,12.0,795.0,780.0,N,R,PU,1,P,CO,19740,0.0,0.0,N,N,W,N,0,0
98837371,2020-01-01,R,4.125,99000.0,300,2019-10-01,2019-12-01,63,63,1,39.0,731.0,0.0,N,C,SF,1,P,OH,44220,0.0,0.0,N,N,A,N,1,0
98837380,2020-01-01,R,3.375,450000.0,240,2019-12-01,2020-02-01,46,48,1,13.0,713.0,0.0,N,C,SF,1,P,OH,19430,0.0,0.0,N,N,A,N,1,0
98837381,2020-01-01,R,3.25,117000.0,180,2019-12-01,2020-02-01,46,50,2,18.0,762.0,765.0,N,R,SF,1,P,OH,18140,0.0,0.0,N,N,A,N,0,0
98837385,2020-01-01,C,3.375,333000.0,360,2019-11-01,2020-01-01,90,90,1,42.0,755.0,0.0,N,R,PU,1,P,OH,18140,25.0,1.0,N,N,A,N,1,0
98837404,2020-01-01,C,3.99,73000.0,360,2019-11-01,2020-01-01,90,90,1,22.0,817.0,0.0,Y,P,SF,1,P,OH,17460,25.0,1.0,N,N,A,N,0,0
98837408,2020-01-01,R,5.625,55000.0,360,2019-11-01,2020-01-01,85,85,1,28.0,799.0,0.0,N,P,SF,1,I,VA,31340,12.0,1.0,N,N,A,N,0,0
98837419,2020-01-01,R,3.875,197000.0,360,2019-12-01,2020-02-01,75,75,2,47.0,809.0,810.0,N,P,CO,1,S,MI,24340,0.0,0.0,N,N,A,N,1,0
98837448,2020-01-01,B,3.875,142000.0,360,2020-01-01,2020-03-01,88,88,1,27.0,736.0,0.0,Y,P,SF,1,P,MI,19820,25.0,1.0,Y,N,A,N,0,0
98837456,2020-01-01,C,3.875,611000.0,360,2019-11-01,2020-01-01,85,85,1,36.0,755.0,0.0,N,R,PU,1,P,VA,47900,12.0,1.0,N,N,W,Y,1,0
98837461,2020-01-01,R,3.875,153000.0,360,2019-12-01,2020-02-01,88,88,1,28.0,769.0,0.0,N,R,SF,1,P,OH,17140,25.0,1.0,N,N,A,N,1,0
98837471,2020-01-01,C,4.125,161000.0,360,2019-12-01,2020-02-01,95,95,2,49.0,704.0,746.0,N,P,SF,1,P,OH,19430,30.0,1.0,N,N,A,N,1,0
98837493,2020-01-01,R,4.0,92000.0,360,2019-12-01,2020-02-01,69,69,2,30.0,782.0,811.0,N,R,SF,1,P,VA,40220,0.0,0.0,N,N,A,N,0,0
98837502,2020-01-01,R,4.75,130000.0,360,2020-01-01,2020-03-01,73,73,2,42.0,688.0,708.0,N,R,PU,1,P,OH,0,0.0,0.0,N,N,A,N,1,0
98837504,2020-01-01,C,4.0,159000.0,360,2019-12-01,2020-02-01,80,80,1,30.0,764.0,0.0,N,P,CO,1,P,OH,30620,0.0,0.0,N,N,A,N,0,0
