LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_DATE,FIRST_PAY,OLTV,NUM_BO,DTI,CSCORE_B,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG,MI,TERM,DTI_LTV,DTI_UPB
98838346,2020-01-01,R,3.625,335000.0,2019-12-01,2020-02-01,70,1,24.0,787.0,0,R,SF,1,P,CO,19740,0,0,W,0,1,0,0,30y,0.34285714285714286,7.164179104477612e-05
98838352,2020-01-01,C,4.99,102000.0,2019-12-01,2020-02-01,80,1,42.0,765.0,0,P,SF,1,I,VA,40060,0,0,A,0,1,0,0,30y,0.525,0.00041176470588235296
98838353,2020-01-01,R,5.875,220000.0,2019-12-01,2020-02-01,71,1,24.0,684.0,0,C,SF,1,P,OH,18140,0,0,A,0,0,0,0,30y,0.3380281690140845,0.00010909090909090909
98838354,2020-01-01,R,4.0,172000.0,2020-01-01,2020-03-01,80,1,39.0,800.0,0,C,SF,1,P,OH,0,0,0,A,0,1,0,0,30y,0.4875,0.00022674418604651163
98838375,2020-01-01,B,3.75,380000.0,2020-01-01,2020-03-01,80,2,19.0,791.0,0,C,SF,1,P,CO,19740,0,0,A,0,1,0,0,30y,0.2375,5e-05
98838378,2020-01-01,C,4.375,368000.0,2019-12-01,2020-02-01,80,1,30.0,657.0,0,P,PU,1,S,GA,12060,0,0,A,0,0,0,0,30y,0.375,8.152173913043479e-05
98838392,2020-01-01,C,4.5,227000.0,2019-12-01,2020-02-01,70,1,44.0,699.0,0,C,SF,1,P,CO,19740,0,0,W,0,1,0,0,30y,0.6285714285714286,0.00019383259911894273
98838399,2020-01-01,R,3.875,250000.0,2019-12-01,2020-02-01,80,2,28.0,766.0,0,C,SF,1,P,MI,33780,0,0,A,0,0,0,0,30y,0.35,0.000112
98838404,2020-01-01,R,3.75,80000.0,2020-01-01,2020-03-01,80,1,44.0,780.0,0,C,SF,1,P,MI,0,0,0,A,0,0,0,0,other,0.55,0.00055
98838411,2020-01-01,R,3.99,63000.0,2019-12-01,2020-02-01,77,1,34.0,783.0,0,P,SF,1,P,VA,0,0,0,W,0,0,0,0,30y,0.44155844155844154,0.0005396825396825396
